elo,status,motivo,subtipoPlan,dataMax,itauId,pay99Id,idsDesparear,bancosSys,somaPlan
5297,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-05-31,,,,5+1,-862
5298,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-06-05,,,,5+1,-2610.72
5299,IGNORAR,nao_itau_only,,2016-09-16,,,,2+1,0
5300,IGNORAR,nao_itau_only,,2019-06-06,,,,4,0
5302,IGNORAR,nao_itau_only,,2019-06-04,,,,6+1,0
5303,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-06-18,,,,5+1,-2050
5304,IGNORAR,nao_itau_only,,2019-06-12,,,,6+1,0
5305,IGNORAR,nao_itau_only,,2019-06-14,,,,4+1,0
5307,IGNORAR,nao_itau_only,,2019-06-21,,,,4+1,0
5308,IGNORAR,nao_itau_only,,2019-06-14,,,,6+1,0
5310,IGNORAR,nao_itau_only,,2019-06-12,,,,6+5,6500
5311,IGNORAR,nao_itau_only,,2019-06-12,,,,4+6,0
5312,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-06-25,,,,5+1,-442
5313,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-07-01,,,,5+1,-50
5314,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2019-06-26,,,,1,0
5315,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SEM_99PAY,2019-06-26,,,,3+1,4000
5316,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SEM_99PAY,2019-06-26,,,,3+1,4000
5317,IGNORAR,nao_itau_only,,2019-06-26,,,,2+1,0
5318,IGNORAR,nao_itau_only,,2019-07-02,,,,6+1,0
5319,IGNORAR,nao_itau_only,,2019-07-02,,,,6+1,0
5320,IGNORAR,nao_itau_only,,2019-07-02,,,,6+1,0
5321,IGNORAR,nao_itau_only,,2019-07-02,,,,6+1,0
5322,IGNORAR,nao_itau_only,,2019-07-01,,,,,0
5323,IGNORAR,nao_itau_only,,2017-12-06,,,,2,0
5324,IGNORAR,nao_itau_only,,2017-12-07,,,,2+1,0
5325,IGNORAR,nao_itau_only,,2017-12-07,,,,2+1,0
5326,IGNORAR,nao_itau_only,,2019-07-01,,,,4+6+1,0
5327,IGNORAR,nao_itau_only,,2019-07-02,,,,,0
5328,IGNORAR,nao_itau_only,,2019-07-12,,,,6+5+1,7789.68
5329,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2017-11-14,,,,1,0
5330,IGNORAR,nao_itau_only,,2019-07-12,,,,4+6+1,0
5331,IGNORAR,nao_itau_only,,2017-11-13,,,,4,0
5332,IGNORAR,nao_itau_only,,2017-11-13,,,,2,0
5333,IGNORAR,nao_itau_only,,2019-07-15,,,,1,0
5334,IGNORAR,nao_itau_only,,2019-07-15,,,,1,0
5335,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2019-07-19,,,,5+1,-600
5336,IGNORAR,nao_itau_only,,2019-07-22,,,,4+6+1,0
5337,IGNORAR,nao_itau_only,,2019-07-22,,,,2+3,21670.03
5338,IGNORAR,nao_itau_only,,2019-07-22,,,,2+1,0
5339,IGNORAR,nao_itau_only,,2019-07-22,,,,4+1,0
5341,IGNORAR,nao_itau_only,,2019-07-10,,,,2+1,0
5342,IGNORAR,nao_itau_only,,2019-06-12,,,,,0
5344,IGNORAR,nao_itau_only,,2019-05-02,,,,2+1,0
5345,IGNORAR,nao_itau_only,,2019-07-09,,,,6+1,0
5347,IGNORAR,nao_itau_only,,2018-12-10,,,,6,0
5348,IGNORAR,nao_itau_only,,2018-12-07,,,,6,0
5349,IGNORAR,nao_itau_only,,2017-11-09,,,,2+1,0
5350,IGNORAR,nao_itau_only,,2017-11-10,,,,2+1,0
5351,IGNORAR,nao_itau_only,,2017-11-08,,,,2,0
5352,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-11-07,,,,5+1,-250
5353,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-10-27,,,,5+1,-1000
5354,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-10-16,,,,5+1,-250
5355,IGNORAR,nao_itau_only,,2017-10-13,,,,4,0
5356,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-10-11,,,,5+1,-11452
5357,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2017-09-12,,,,5+1,-2000
